segment,is_non_e_and_p,category,confidence,rationale
EPCM,True,Oilfield Services,0.85,"EPCM (Engineering, Procurement, and Construction Management) is a service activity, not E&P."
Commercial,False,Unknown,0.4,Commercial is too vague to determine E&P or non-E&P status.
Government Services,True,Corporate/Other,0.8,Government services are non-E&P support or administrative activities.
Oil & Gas- Onshore,False,Unknown,1.0,Onshore oil & gas indicates upstream E&P activities.
Web hosting services,True,Corporate/Other,1.0,"Web hosting is a corporate IT service, not E&P."
Data Storage and Repair Service,True,Corporate/Other,1.0,"Data storage and repair are corporate support services, not E&P."
New Zealand Upstream Activities,False,Unknown,1.0,"Explicitly states upstream activities, so E&P."
North America Upstream Activities,False,Unknown,1.0,"Explicitly upstream activities, so E&P."
South America Upstream Activities,False,Unknown,1.0,"Explicitly upstream activities, so E&P."
Brunei Upstream Activities,False,Unknown,1.0,"Explicitly upstream activities, so E&P."
Downstream Activities,True,Downstream,1.0,"Explicitly states downstream activities, so non-E&P."
Management Consulting,True,Corporate/Other,0.9,"Management consulting is a corporate service, not E&P."
Management Consulting Fees,True,Corporate/Other,0.9,"Fees for management consulting are corporate expenses, not E&P."
Website Development,True,Corporate/Other,1.0,"Website development is a corporate IT activity, not E&P."
Investment Holding,True,Corporate/Other,1.0,Investment holding is a non-operating corporate activity.
Oil service operations,True,Oilfield Services,0.95,"Oil service operations are supplier-side services, not E&P."
Litigation,True,Corporate/Other,1.0,"Litigation is a legal/corporate activity, not E&P."
MULTIMEDIA SOFTWARE,True,Corporate/Other,1.0,"Software development is a corporate activity, not E&P."
SOFTWARE PUBLISHING,True,Corporate/Other,1.0,"Software publishing is a corporate activity, not E&P."
DEVELOPMENT CONTRACTS,False,Unknown,0.6,Development contracts could relate to upstream E&P development; ambiguous so default false.
Internet Operations,True,Corporate/Other,1.0,"Internet operations are corporate IT activities, not E&P."
Computers & Systems,True,Corporate/Other,0.9,"Computers and systems are corporate support activities, not E&P."
MULTIMEDIA LEARNING SOFTWARE,True,Corporate/Other,1.0,"Software for learning is a corporate activity, not E&P."
Multimedia Learning Software,True,Corporate/Other,1.0,"Software for learning is a corporate activity, not E&P."
Advanced Antenna Technology,True,Corporate/Other,0.8,"Antenna technology is a corporate or service activity, not E&P."
PIPELINE REPAIR,True,Midstream,0.9,"Pipeline repair is a midstream service activity, not E&P."
Computer Hardware Reseller,True,Corporate/Other,0.9,"Reselling computer hardware is a corporate or service activity, not E&P."
HYPD,False,Unknown,0.3,Acronym with no clear meaning; default to false.
SCS,False,Unknown,0.3,Acronym with no clear meaning; default to false.
Oil & Gas Exploration/Seismic Data Management Services,True,Oilfield Services,0.9,"Seismic data management is a service supporting exploration, not E&P itself."
HYD,False,Unknown,0.3,Acronym with no clear meaning; default to false.
OIL & GAS ON & OFF SHORE,False,Unknown,1.0,Explicitly oil & gas on/offshore indicates upstream E&P activities.
Oil & Gas On/Off shore,False,Unknown,1.0,Explicitly oil & gas on/offshore indicates upstream E&P activities.
Oil & Gas On/Off Shore,False,Unknown,1.0,Explicitly oil & gas on/offshore indicates upstream E&P activities.
Processing and Related Services,True,Midstream,0.9,"Processing is a midstream activity, not E&P."
"Gathering, Processing & Marketing",True,Midstream,1.0,"Gathering, processing, and marketing are midstream/downstream activities, not E&P."
Exploration and Production-US,False,Unknown,1.0,"Explicitly exploration and production, so upstream E&P."
Exploration and Production-Canada,False,Unknown,1.0,"Explicitly exploration and production, so upstream E&P."
Gathering & Processing &  Marketing-US,True,Midstream,1.0,"Gathering, processing, and marketing are midstream/downstream activities, not E&P."
MarkWest Energy Partners,True,Midstream,0.95,MarkWest Energy Partners is a known midstream company focused on gathering and processing.
Eliminating Entries,True,Corporate/Other,1.0,"Eliminating entries are corporate accounting adjustments, not E&P."
Markwest Hydrocarbon Standalone,True,Midstream,0.9,"Markwest is a midstream hydrocarbon processing entity, not E&P."
NATURAL GAS PRODTN & DEV,False,Unknown,1.0,Production and development of natural gas is upstream E&P activity.
Natural Gas Storage,True,Midstream,0.95,"Natural gas storage is a midstream activity, not E&P."
Natural Gas Production,False,Unknown,1.0,Natural gas production is upstream E&P activity.
Transportation,True,Midstream,0.85,"Transportation generally refers to midstream pipeline or logistics activities, not E&P."
Propane Distribution,True,Midstream,0.9,"Distribution of propane is a midstream/downstream activity, not E&P."
TRASPORTATION,True,Midstream,0.85,"Likely a misspelling of transportation, a midstream activity, not E&P."
Parent Company,True,Corporate/Other,1.0,"Parent company is a corporate entity, not an operating E&P segment."
OIL & GAS -OFFSHORE,False,Unknown,1.0,Offshore oil & gas indicates upstream E&P activities.
OIL&GAS EXPL & PRODUCTION,False,Unknown,1.0,"Explicitly exploration and production, so upstream E&P."
3D OIL & GAS EXPLORATION,False,Unknown,1.0,"Explicitly oil & gas exploration, so upstream E&P."
SYSTEMS INTEGRATION-NETWORK,True,Corporate/Other,0.9,"Systems integration and network services are corporate/IT related, not E&P."
COMPUTER WHOLESALE SYS INTEG,True,Corporate/Other,0.9,Computer wholesale and system integration is a corporate/IT activity unrelated to E&P.
E-Solutions,True,Corporate/Other,0.8,"E-Solutions is vague but suggests IT/technology services, not E&P."
DriveOff,True,Downstream,0.8,"Name suggests retail or fuel distribution, likely downstream activity."
Product Distribution,True,Downstream,0.9,"Product distribution typically refers to downstream logistics or marketing, not E&P."
INTERNET SOLUTIONS,True,Corporate/Other,0.9,Internet solutions are IT services unrelated to E&P.
PRODUCT DISTRIBUTION,True,Downstream,0.9,"Same as 'Product Distribution', clearly downstream logistics or marketing."
Technology,True,Corporate/Other,0.8,"Generic technology segment likely corporate or IT, not E&P."
Financial,True,Corporate/Other,1.0,Financial services are corporate activities unrelated to E&P.
Navidec Capital,True,Corporate/Other,0.9,"Capital or investment entity is corporate, not E&P."
Mortgage Services,True,Corporate/Other,1.0,Mortgage services are financial/corporate unrelated to E&P.
BROKERAGE SERVICES,True,Corporate/Other,0.9,"Brokerage services are financial or trading related, not E&P."
Brokerage Services,True,Corporate/Other,0.9,"Same as above, financial/trading related, not E&P."
OIL & NATURAL GAS - ONSHORE,False,Unknown,1.0,Explicitly onshore oil and gas indicates upstream E&P activity.
Onshore Oil and Natural Gas,False,Unknown,1.0,Clearly denotes upstream onshore oil and gas production.
Onshore Oil & Natural Gas,False,Unknown,1.0,"Same as above, upstream onshore oil and gas."
Oil & Gas-US,False,Unknown,0.9,"Generic oil & gas segment with geographic label, likely upstream E&P."
Oil & Gas-China,False,Unknown,0.9,"Same as above, geographic oil & gas segment likely upstream E&P."
GTL,True,Downstream,0.95,"Gas-to-liquids is a downstream conversion process, not E&P."
HTL,True,Downstream,0.9,Hydrothermal liquefaction is a downstream processing technology.
EOR,False,Unknown,1.0,Enhanced Oil Recovery is an upstream production technique.
Oil & Gas Convention-US,False,Unknown,0.7,"Convention likely refers to upstream oil & gas activities or events, ambiguous but defaults to false."
Oil & Gas Conventional-China,False,Unknown,1.0,Conventional oil & gas implies upstream E&P.
Buisness & Technology Development,True,Corporate/Other,0.85,"Business and technology development is corporate, not E&P."
Oil & Gas Conventional-Asia,False,Unknown,1.0,Conventional oil & gas upstream segment in Asia.
Integrated Oil & Gas-Canada,False,Unknown,0.8,"Integrated oil & gas usually includes upstream E&P, ambiguous but defaults to false."
Integrated Oil & Gas-Ecuador,False,Unknown,0.8,"Same as above, integrated oil & gas includes upstream E&P."
Asia,False,Unknown,0.7,"Geographic label only, too vague to classify as non-E&P."
Technology Development,True,Corporate/Other,0.85,"Technology development is corporate/IT related, not E&P."
Latin America,False,Unknown,0.7,"Geographic label only, ambiguous, defaults to false."
OIL & GAS EXTRACTION,False,Unknown,1.0,Extraction is a core upstream E&P activity.
OIL & GAS -ON & OFFSHORE,False,Unknown,1.0,Onshore and offshore oil & gas clearly upstream E&P.
Industrial & Offshore Division,False,Unknown,0.75,Offshore suggests upstream E&P; industrial is ambiguous but likely related.
Engineering Division,True,Corporate/Other,0.8,"Engineering division is corporate/technical support, not directly E&P."
Power Division,True,Utilities/Power,0.95,"Power division indicates utilities or power generation, non-E&P."
Oil and Gas Division,False,Unknown,0.85,Generic oil and gas division likely includes upstream E&P.
Turnkey Revenue and Related Partnership Fees,True,Corporate/Other,0.85,"Turnkey and partnership fees are financial/corporate, not E&P."
Contract Drilling Services,True,Oilfield Services,1.0,"Contract drilling is an oilfield service, supplier side, not E&P."
Oil and Gas Sales,True,Trading/Marketing,0.95,"Sales of oil and gas is a marketing/trading activity, not E&P."
Oil & Gas Extraction,False,Unknown,1.0,Extraction is a core upstream E&P activity.
INTERACTIVE WEBSITE,True,Corporate/Other,0.9,"Interactive website is a corporate/IT function, not E&P."
Interactive Website,True,Corporate/Other,0.9,"Same as above, corporate IT related."
Real Estate Operations,True,Real Estate,1.0,Real estate operations are non-E&P corporate activities.
Commercial Real Estate,True,Real Estate,1.0,Commercial real estate is unrelated to E&P.
REP,False,Unknown,0.5,Acronym 'REP' is ambiguous and too vague to classify as non-E&P.
Other & Corporate,True,Corporate/Other,1.0,Corporate and other non-operating segments are non-E&P.
Retail Electricity Provider,True,Utilities/Power,1.0,"Retail electricity provision is a utility activity, not E&P."
Energy Management Services,True,Utilities/Power,0.9,"Energy management services relate to utilities or power, not E&P."
Energy Management,True,Utilities/Power,0.9,"Same as above, utilities related, not E&P."
ONSHORE OIL & GAS PRODUCTION,False,Unknown,1.0,Explicitly upstream onshore oil and gas production.
OFFSHORE OIL & GAS PRODTN,False,Unknown,1.0,Explicitly upstream offshore oil and gas production.
Onshore Oil and Gas Production,False,Unknown,1.0,Clearly upstream onshore oil and gas production.
Offshore Oil and Gas Production,False,Unknown,1.0,Clearly upstream offshore oil and gas production.
OFFSHORE OIL & GAS PRODUCTN,False,Unknown,1.0,"Same as above, upstream offshore production."
Onshore-Gas,False,Unknown,1.0,Onshore gas indicates upstream E&P activity.
Onshore-Oil,False,Unknown,1.0,Onshore oil indicates upstream E&P activity.
Offshore,False,Unknown,0.8,"Offshore alone is ambiguous but likely upstream E&P, defaults to false."
Internet Services,True,Corporate/Other,0.9,"Internet services are corporate/IT related, not E&P."
Consulting Services,True,Corporate/Other,0.9,"Consulting services are corporate support, not E&P."
Gas and Oil Exploration,False,Unknown,1.0,Exploration is a core upstream E&P activity.
GAS AND OIL EXPLORATION,False,Unknown,1.0,"Same as above, upstream exploration."
OILFIELD EQUIPMENT RESALE,True,Oilfield Services,0.95,"Equipment resale is an oilfield services activity, not E&P."
U.S.Upstream,False,Unknown,1.0,"Explicitly upstream segment in US, core E&P."
Canadian Upstream,False,Unknown,1.0,"Explicitly upstream segment in Canada, core E&P."
Petroleum Refining,True,Downstream,1.0,"Refining is a downstream activity, not E&P."
Industrial/Commercial,True,Corporate/Other,0.7,Industrial/commercial is vague but suggests non-E&P corporate activities.
Delta Seaboard,False,Unknown,0.6,"Geographic or regional name, too vague to classify as non-E&P."
Hammonds Technical Services,True,Corporate/Other,0.8,"Technical services likely corporate or support, not E&P."
Hammonds Fuel Additives,True,Chemicals,0.95,"Fuel additives are chemical products, non-E&P."
Hammonds Water Treatment,True,Corporate/Other,0.85,"Water treatment is a service or chemical related, not E&P."
Northeastern Plastics,True,Chemicals,1.0,"Plastics manufacturing is chemical industry, not E&P."
Shumate Energy Technologies,True,Corporate/Other,0.75,"Energy technologies is vague but likely corporate/IT, not E&P."
AMIH,False,Unknown,0.5,"Acronym only, too vague to classify as non-E&P."
AITP,False,Unknown,0.5,"Acronym only, too vague to classify as non-E&P."
Downhole Completion Products,True,Oilfield Services,0.95,"Downhole completion products are oilfield services/supplies, not E&P."
Brenham Oil & Gas,False,Unknown,0.9,Oil & Gas company name suggests upstream E&P.
Brenham Oil & Gas (BOG),False,Unknown,0.9,"Same as above, upstream E&P implied."
Oil and Natural Gas Exploration and  Production,False,Unknown,1.0,"Explicitly exploration and production, core upstream E&P."
Oil and natural gas production,False,Unknown,1.0,"Explicitly production, core upstream E&P."
Software,True,Corporate/Other,0.9,"Software is corporate/IT related, not E&P."
ON-LINE CATALOG,True,Trading/Marketing,0.9,"An online catalog suggests a marketing or sales platform, not E&P activity."
ON-LINE RETAILER,True,Trading/Marketing,1.0,"Retailer clearly indicates sales/marketing activity, not exploration or production."
On-Line Retailer,True,Trading/Marketing,1.0,"Same as above, retailing is downstream/marketing activity."
Eastern Australia,False,Unknown,0.8,"Geographic name only, ambiguous and could include E&P."
WA & NT,False,Unknown,0.8,"Geographic region abbreviation, ambiguous for E&P or other."
Gladstone LNG (GLNG),True,LNG/Gas&Power,1.0,"LNG facility clearly non-E&P, related to liquefaction and gas export."
Other and Unallocated,False,Unknown,0.7,"Generic unallocated segment, ambiguous."
Coporate and Eliminations,True,Corporate/Other,1.0,Corporate and eliminations are non-operating and non-E&P.
Cooper Basin,False,Unknown,0.95,"Named oil and gas basin, likely E&P activity."
Papua New Guinea (PNG),False,Unknown,0.8,"Geographic region, ambiguous for E&P or other."
Northern Australia,False,Unknown,0.8,"Geographic region only, ambiguous."
Western Australia (WA) Gas,False,Unknown,0.75,"Geographic plus gas mention, but no clear non-E&P activity, ambiguous."
"Coporate, Exploration & Elim",False,Unknown,0.9,"Mix of corporate and exploration terms, ambiguous but includes E&P cues."
Queensland,False,Unknown,0.8,"Geographic region only, ambiguous."
Queensland & NSW,False,Unknown,0.8,"Geographic regions only, ambiguous."
Northern Australia&Timor-Leste,False,Unknown,0.8,"Geographic regions only, ambiguous."
Western Australia,False,Unknown,0.8,"Geographic region only, ambiguous."
North Australia &Timor-Leste,False,Unknown,0.8,"Geographic regions only, ambiguous."
"Corporate, Exploration&Elim.",False,Unknown,0.9,"Mix of corporate and exploration terms, ambiguous but includes E&P cues."
Santos Energy Solutions,False,Unknown,0.7,Name suggests energy solutions but no clear non-E&P activity; ambiguous.
Australia,False,Unknown,0.8,"Country name only, ambiguous."
Corporate/Other,True,Corporate/Other,1.0,"Corporate and other non-operating segment, clearly non-E&P."
Producing - North West Shelf,False,Unknown,1.0,"Producing field name, clearly E&P activity."
Producing - Pluto,False,Unknown,1.0,"Producing field name, clearly E&P activity."
Producing - Australia Oil,False,Unknown,1.0,"Producing oil segment, clearly E&P."
Producing - Wheatstone,False,Unknown,1.0,"Producing field name, clearly E&P activity."
Unallocated Items,False,Unknown,0.7,"Generic unallocated segment, ambiguous."
Development - Scarborough,False,Unknown,1.0,"Development of a field, clearly E&P activity."
Development - Sangomar,False,Unknown,1.0,"Development of a field, clearly E&P activity."
Other Developments,False,Unknown,0.85,"Development term implies E&P activity, ambiguous but defaults to false."
Development,False,Unknown,0.8,"Generic development term, likely E&P but ambiguous; default false."
New Energy/Corporate,True,Corporate/Other,0.9,"Includes corporate and new energy (likely renewables), non-E&P."
OIL & GAS-OFFSHORE,False,Unknown,1.0,Oil & gas offshore implies E&P activity.
Petroleum & Natural Gas,False,Unknown,0.8,"Generic petroleum and gas term, ambiguous but likely E&P."
Petroleum Expl. & Production,False,Unknown,1.0,"Explicit exploration and production, clearly E&P."
Petroleum Exploration and Production,False,Unknown,1.0,"Explicit exploration and production, clearly E&P."
Electricity Generation and Retailing,True,Utilities/Power,1.0,Electricity generation and retailing is non-E&P utility activity.
Midstream Services and Marketing,True,Midstream,1.0,Midstream services and marketing clearly non-E&P midstream activity.
Midstream Services & Marketing,True,Midstream,1.0,"Same as above, midstream and marketing non-E&P."
Canada Oil & Gas Production,False,Unknown,1.0,Production clearly E&P activity.
US Oil & Gas Production,False,Unknown,1.0,Production clearly E&P activity.
Provident Midstream,True,Midstream,1.0,Midstream in name indicates non-E&P midstream activity.
Provident Upstream,False,Unknown,1.0,Upstream indicates E&P activity.
OIL AND GAS PRODUCER,False,Unknown,1.0,Producer indicates E&P activity.
Oil and Gas Producer,False,Unknown,1.0,Producer indicates E&P activity.
Hydrogen Gas Production,True,Utilities/Power,0.9,"Hydrogen gas production is a utility/energy product, not upstream E&P."
Production and Operating,False,Unknown,0.95,Production and operating implies E&P activity.
Alternative Fuels,True,Renewables,0.85,Alternative fuels generally non-E&P renewable or downstream activity.
Natural Gac Exploration and Production,False,Unknown,1.0,Exploration and production explicitly E&P.
NATURAL GAS EXPLORATION,False,Unknown,1.0,Exploration is upstream E&P activity.
Oil and Natural Gas Reserves,False,Unknown,0.95,Reserves relate to upstream E&P.
Oil & Gas Exploration-Liquidating,False,Unknown,0.9,Exploration is E&P activity despite liquidation context.
Bottled Water,True,Mining/Other,1.0,"Bottled water is unrelated to oil & gas E&P, non-E&P activity."
Digital Photography Solutions,True,Mining/Other,1.0,"Digital photography unrelated to E&P, non-E&P activity."
Turn-Key Solutions,True,Oilfield Services,0.9,"Turn-key solutions typically refer to oilfield services, non-E&P supplier side."
NAT GAS LIQUIDS PROC & DISTR,True,Midstream,1.0,"Processing and distribution of natural gas liquids is midstream, non-E&P."
Fractionation,True,Midstream,1.0,"Fractionation is a midstream processing activity, non-E&P."
Processing,True,Midstream,0.9,"Processing is midstream activity, not upstream E&P."
Octane Enhancement,True,Downstream,1.0,"Octane enhancement is refining/downstream activity, non-E&P."
Adjustments and Eliminations,True,Corporate/Other,1.0,"Adjustments and eliminations are corporate accounting entries, non-E&P."
Offshore Pipeline & Services,True,Midstream,1.0,"Pipeline and services are midstream activities, non-E&P."
Onshore Nat. Gas Piplines & Services,True,Midstream,1.0,"Onshore natural gas pipelines and services are midstream, non-E&P."
NGL Pipelines & Services,True,Midstream,1.0,"Natural gas liquids pipelines and services are midstream, non-E&P."
Petrochemical Services,True,Chemicals,1.0,"Petrochemical services are downstream chemical activities, non-E&P."
Non-Segment & Other,False,Unknown,0.7,"Generic non-segment and other, ambiguous."
Onshore Natural Gas Pipelines & Services,True,Midstream,1.0,"Onshore natural gas pipelines and services are midstream, non-E&P."
Petrochemical & Refined Products Services,True,Chemicals,1.0,"Petrochemical and refined products services are downstream chemical activities, non-E&P."
Onshore Crude Oil Pipelines & Services,True,Midstream,1.0,"Onshore crude oil pipelines and services are midstream, non-E&P."
Onshore Natural Gas,False,Unknown,0.75,"Generic onshore natural gas term, ambiguous and could be E&P."
Petrochem Refined Prod Serv,True,Chemicals,1.0,"Petrochemical and refined product services are downstream chemical activities, non-E&P."
Onshore Crude Oil,False,Unknown,0.8,Onshore crude oil term alone is ambiguous but likely E&P; default false.
Other Investments,True,Corporate/Other,0.9,"Investments are non-operating, non-E&P activity."
Onshore Natural Gas Pipelines,True,Midstream,1.0,"Pipelines are midstream, non-E&P."
Petrochemical & Refined Prod,True,Chemicals,1.0,"Petrochemical and refined products are downstream chemical activities, non-E&P."
Onshore Crude Oil Pipelines,True,Midstream,1.0,"Crude oil pipelines are midstream, non-E&P."
Natural Gas Pipelines & SRVC,True,Midstream,1.0,"Natural gas pipelines and services are midstream, non-E&P."
Crude Oil Pipelines & SRVC,True,Midstream,1.0,"Crude oil pipelines and services are midstream, non-E&P."
Natural Gas Pipelines & Srvc,True,Midstream,1.0,"Natural gas pipelines and services are midstream, non-E&P."
Crude Oil Pipelines & Srvc,True,Midstream,1.0,"Crude oil pipelines and services are midstream, non-E&P."
Mineral Exploration,True,Mining/Other,1.0,"Mineral exploration refers to mining other than oil & gas, non-E&P."
World Wide Web Community,True,Corporate/Other,0.9,"The segment name refers to an online community, which is unrelated to upstream E&P activities."
Payment processing service,True,Corporate/Other,0.95,Payment processing is a financial service unrelated to exploration or production of oil and gas.
Payment Processing-Asia Pacific,True,Corporate/Other,0.95,"Payment processing in a geographic region is a financial service, not E&P."
Payment Processing-Americas,True,Corporate/Other,0.95,"Payment processing in Americas is a financial service, unrelated to E&P."
Systems integration,True,Corporate/Other,0.9,"Systems integration is an IT or service function, not related to upstream E&P."
Discontinued Operations,True,Corporate/Other,0.95,"Discontinued operations is a corporate accounting category, not an operating E&P segment."
Integrated Communications Services,True,Corporate/Other,0.9,Communications services are unrelated to exploration or production activities.
Information Integration Services,True,Corporate/Other,0.9,"Information integration is an IT or service function, not E&P."
Communications Services,True,Corporate/Other,0.9,Communications services do not relate to upstream exploration or production.
Integration Services,True,Corporate/Other,0.85,"Integration services is a vague service function, not clearly E&P."
Exploration & Production U.S.,False,Unknown,1.0,"Explicitly states exploration and production, clearly upstream E&P."
Exploration & Production Canada,False,Unknown,1.0,"Explicitly states exploration and production, clearly upstream E&P."
Processing & Gathering,True,Midstream,0.95,"Processing and gathering are midstream activities, not upstream E&P."
Exploration & Production - U.S.,False,Unknown,1.0,"Explicitly exploration and production, clearly upstream E&P."
Exploration & Production - Canada,False,Unknown,1.0,"Explicitly exploration and production, clearly upstream E&P."
Exploration & Production-US,False,Unknown,1.0,"Explicitly exploration and production, clearly upstream E&P."
Exploration & Production-Canada,False,Unknown,1.0,"Explicitly exploration and production, clearly upstream E&P."
Petroleum and Natural Gas,False,Unknown,0.7,General oil and gas term without indication of non-E&P; ambiguous so default false.
Berbice Deep Water Port,True,Midstream,0.95,"A port is a logistics and transportation facility, midstream activity."
BITUMINOUS COAL MINING,True,Mining/Other,1.0,Coal mining is a mining activity unrelated to oil and gas E&P.
Industrial Supplies and Equipment,True,Corporate/Other,0.9,"Supplies and equipment is a support function, not E&P."
PA Mining Operations,True,Mining/Other,0.95,Mining operations unrelated to oil and gas E&P.
Coalbed Methane,False,Unknown,0.85,Coalbed methane is a gas resource but typically considered upstream E&P activity.
Other Gas,False,Unknown,0.7,"Vague gas term, no clear non-E&P indication; default false."
Shale,False,Unknown,0.8,Shale is a geological formation often related to upstream E&P; ambiguous but defaults to false.
Coal Recovery Operations,True,Mining/Other,0.95,"Coal recovery is mining related, not oil and gas E&P."
Patent Holder,True,Corporate/Other,0.9,Patent holding is a corporate/legal function unrelated to E&P operations.
KWA Software,True,Corporate/Other,0.9,Software business unrelated to upstream E&P.
CRM Software,True,Corporate/Other,0.9,Customer relationship management software is unrelated to E&P.
Internet business transactions,True,Corporate/Other,0.9,Internet business transactions are corporate or service activities unrelated to E&P.
Internet Business Transactions,True,Corporate/Other,0.9,"Same as above, unrelated to upstream E&P."
Oil and Gas USA,False,Unknown,0.7,"General oil and gas term with geographic label, ambiguous but defaults to false."
Online Business to Business Canada,True,Corporate/Other,0.9,Online B2B is a corporate/service activity unrelated to E&P.
Oil & Gas Sand Deposits,False,Unknown,0.8,"Refers to oil and gas sand deposits, likely upstream E&P related; no non-E&P terms."
OIl & Gas,False,Unknown,0.7,"General oil and gas term, ambiguous but defaults to false."
Northern,False,Unknown,0.6,"Geographic label only, too vague to classify as non-E&P."
Southern,False,Unknown,0.6,"Geographic label only, ambiguous and defaults to false."
Gulf of Mexico,False,Unknown,0.7,Geographic region known for upstream E&P; ambiguous but defaults to false.
Western,False,Unknown,0.6,"Geographic label only, ambiguous and defaults to false."
EAC Standalone,False,Unknown,0.6,Vague name with no clear non-E&P indication; defaults to false.
ENP,False,Unknown,0.6,Acronym with no clear non-E&P indication; defaults to false.
Drilling Services,True,Oilfield Services,1.0,"Drilling services are oilfield services, supplier side, not upstream E&P."
Crude oil and natural gas,False,Unknown,0.7,"General upstream product terms, ambiguous but defaults to false."
Production sharing contract,False,Unknown,0.9,Refers to contract type for upstream E&P; no non-E&P terms.
Independent operations,False,Unknown,0.6,"Vague term, no clear non-E&P indication; defaults to false."
Marketing revenues,True,Trading/Marketing,0.95,"Marketing revenues indicate trading or sales activities, not upstream E&P."
Other income,True,Corporate/Other,0.95,Other income is a corporate accounting category unrelated to E&P.
Production Sharing Contract,False,Unknown,0.9,"Refers to upstream contract type, no non-E&P terms."
Independent Operations,False,Unknown,0.6,"Vague term, no clear non-E&P indication; defaults to false."
Trading Business,True,Trading/Marketing,0.95,"Trading business clearly indicates marketing/trading activity, not upstream E&P."
Joint Arrangements,False,Unknown,0.6,"Vague term related to partnerships, no clear non-E&P indication; defaults to false."
Athlete Skill Development,True,Corporate/Other,1.0,"Clearly unrelated to oil and gas E&P, a non-energy activity."
United,False,Unknown,0.5,"Single word, vague and ambiguous; defaults to false."
Parent,True,Corporate/Other,0.95,"Parent company is a corporate entity, non-operating and not E&P."
INI,False,Unknown,0.6,Acronym with no clear non-E&P indication; defaults to false.
Direct Marketing,True,Trading/Marketing,0.95,"Direct marketing is a sales activity, not upstream E&P."
Dynatech,False,Unknown,0.6,Company or brand name with no clear non-E&P indication; defaults to false.
NGMC,False,Unknown,0.6,Acronym with no clear non-E&P indication; defaults to false.
Technology Products,True,Corporate/Other,0.85,Technology products is a corporate or product category unrelated to upstream E&P.
Optical Disc Media,True,Corporate/Other,1.0,Optical disc media is unrelated to oil and gas E&P.
Toy Manufacturing,True,Corporate/Other,1.0,Toy manufacturing is unrelated to oil and gas E&P.
Coal Royalty,True,Mining/Other,0.95,"Coal royalty relates to mining, not oil and gas E&P."
Timber,True,Mining/Other,1.0,"Timber is a forestry product, unrelated to oil and gas E&P."
Coal Services,True,Mining/Other,0.95,"Coal services relate to mining, not oil and gas E&P."
Natural Gas Midstream,True,Midstream,1.0,Midstream natural gas activities are not upstream E&P.
Electrical Junction Box,True,Corporate/Other,1.0,Electrical junction box is a product unrelated to upstream E&P.
Graphic Media Design,True,Corporate/Other,1.0,Graphic media design is a service unrelated to upstream E&P.
Oil and Gas Explorations and Production,False,Unknown,1.0,"Explicitly states exploration and production, clearly upstream E&P."
Oil & Gas - Expl. and  Prod.,False,Unknown,1.0,"Explicitly exploration and production, clearly upstream E&P."
Marketing and Pipeline,True,Midstream,0.9,Pipeline is midstream and marketing is trading; combined non-E&P activities.
Aggregation and Pipeline,True,Midstream,0.95,"Aggregation and pipeline are midstream activities, not upstream E&P."
Business Consulting,True,Corporate/Other,0.9,Business consulting is a service unrelated to upstream E&P.
Coal Bed Methane,False,Unknown,0.85,Coal bed methane is an upstream gas resource activity.
Consolidating Entries,True,Corporate/Other,0.95,Consolidating entries is an accounting term unrelated to E&P.
Midstream Refining,True,Downstream,1.0,"Refining is a downstream activity, not upstream E&P."
Midstream Liquefaction,True,LNG/Gas&Power,1.0,"Liquefaction is an LNG midstream/downstream activity, not upstream E&P."
Consolidating Adjustments,True,Corporate/Other,0.95,Accounting adjustments unrelated to upstream E&P.
Adjustments,True,Corporate/Other,0.95,Generic accounting term unrelated to E&P operations.
Upstream Explo. & Production,False,Unknown,1.0,"Explicitly upstream exploration and production, clearly E&P."
Crude Oil,False,Unknown,0.7,Crude oil is a product of upstream E&P; ambiguous but defaults to false.
Turnkey Contracts,False,Unknown,0.7,The term 'Turnkey Contracts' is ambiguous and could relate to E&P or services; no clear non-E&P indication.
Oil & Gas Marketing,True,Trading/Marketing,1.0,"Marketing clearly indicates downstream or trading activities, not upstream E&P."
Well Services,True,Oilfield Services,1.0,"Well services are oilfield service activities, not E&P operations."
Oil & Gas Activities,False,Unknown,0.6,Vague term that could include E&P; no clear non-E&P indication.
NGLs,True,Midstream,0.9,NGLs (Natural Gas Liquids) typically relate to midstream processing and logistics.
Cost of Service,False,Unknown,0.5,Generic term with no clear indication of segment type.
Wexpro,False,Unknown,0.5,Proper name with no clear indication; could be E&P or other.
Gas Management,True,Midstream,0.9,Gas management typically involves midstream activities like processing and logistics.
Energy Trading & Other,True,Trading/Marketing,1.0,Energy trading is a non-E&P activity related to marketing and trading.
Energy Trading,True,Trading/Marketing,1.0,Energy trading is clearly a non-E&P activity.
QEP Energy,False,Unknown,0.5,Company name with no clear indication of segment type.
QEP Field Services,True,Oilfield Services,1.0,"Field services indicate oilfield service activities, not E&P."
QEP Marketing & Other,True,Trading/Marketing,0.9,Marketing indicates non-E&P; 'Other' is ambiguous but marketing dominates.
QEP Marketing & Resources,True,Trading/Marketing,0.9,Marketing indicates non-E&P; 'Resources' is ambiguous but marketing dominates.
QEP Marketing  and Other,True,Trading/Marketing,0.9,Marketing indicates non-E&P; 'Other' is ambiguous but marketing dominates.
QEP Marketing and Other,True,Trading/Marketing,0.9,Marketing indicates non-E&P; 'Other' is ambiguous but marketing dominates.
